topic_num,size,top_words,sample_comments
-1,72,"and, the, to, of, is, in, this","The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act with no exceptions. <br/><br/>Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation. Competit ||| We&rsquo;re students advocating for the protection of people with allergies. We strongly support the labeling disclosure of all major food allergens for the safety and health of consumers of alcoholic beverages, and we urge you to approve this regulation. All consumers, regardless of allergy, should feel safe and informed in their choices. While ingredients are still listed on alcoholic products, "
0,14,"gluten, alcoholic, these, labeling, be, beverages, recent","As a consumer in America with many friends with food allergies, I think that labeling information should be displayed on alcoholic beverages similar to labeling on FDA-regulated foods. Although alcoholic beverages may not generally be an essential product and can/have bypassed the regulations inflicted on common products. Consumers with food allergies are accustomed to FDA labeling, and would be a ||| has become in recent years (Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer (Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on  ||| has become in recent years(Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer(Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on th"
1,13,"qr, codes, code, smart, or, served, public","TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. Their could be ways it could be put on drinks served to the public that are non alcoholic. If they can do that for the drinks served to the public they can require it on alcoholic beverages. <br/> ||| products. The TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. There could be ways it could be put on drinks served to the public that are nonalcoholic. If they can do that for the drinks served to the public, they can require it on alcoholic beverages. ||| and requiring species specific disclosure for the labeling of finish. TTB should make clear in the final rule that this information should never be provided solely via QR code, as this would specifically disadvantage populations that are less able to utilize smart phones or similar technology (e.g., those who are older, lower income, or living rurally or on tribal land). Please take this suggestio"
2,11,"serving, per, number, me, brewers, rule, how","I make sure to ask the bartenders who work directly for the beer-maker, and they do not always know. I always look up the specific beer on beer enthusiast forums and apps to check for lactose content, but often do not find information about lactose. As a result, even despite my own vigilance, I end up drinking beers that harm me (e.g., gastrointestinal pain and distress for hours after). This prop ||| The proposed rule by the TTB is a great rule especially with how in the past allergens where listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per se ||| The proposed rule by the TTB is a great rule especially with how in the past allergens were listed as an option. Allergens like milk, fish, soy and peanuts are important due to how an allergic reaction can happen or could potentially kill the drinker, By the Brewers Association the rule it will also disclose, Serving size, number of servings per container, alcohol content, number of ounces per ser"
3,11,"food, allergies, alcoholic, beverages, are, as, major","In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families&mdash;including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen.<br/>This is unacceptable. Alcoholic beverages are one of the only consum ||| My name is Heidi Baxley, I am a licensed Substance Use Prevention Specialist and Chair of the Utah Prevention Coalition Association. Roughly 11% of U.S. adults have food allergies. Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. But consumers with food allergies have no way of knowing  ||| I have been a volunteer in the field of substance abuse prevention for over 25 years. I have a Masters degree in Dietetics. I think it is extremely important to label all foods and beverages to prevent allergic reactions and drug interactions.<br/>Roughly 11% of U.S. adults have food allergies.Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs,"
4,10,"formatting, appear, finfish, should, information, rule, disclosures","be exempt!I commend TTB for issuing a proposed rule that would greatly improve transparency and protect consumers with food allergies by requiring labeling of the top 9 major food allergens that does not exempt processing aids. The rule could be strengthened by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring species specific disclos ||| labeling of fin fish. <br/>TTB should make clear in the final rule that this information should never be provided solely via QR code, as this would specifically disadvantage populations that are less able to utilize smart phones or similar technology <br/>Consumers need this information as soon as possible! In the final rule, TTB should shorten the compliance period from 5 years to 3.5 years to pr ||| and protect consumers with food allergies. The final rule could be improved by specifying where the allergen disclosure should appear, outlining specific formatting requirements, and requiring a species-specific disclosure for the labeling of finfish (e.g., tilapia, salmon, etc.). <br/><br/>Consumers with allergies need allergen information to appear on-package. It should never be provided solely "
5,10,"allergy, malt, spirits, distilled, wines, someone, to","Please add food allergy labels to wine, spirits, and malt beverages as it is a safety concern to those who have food allergies and to businesses that serve alcohol. It is nearly impossible to determine if these items contain a food allergen. I have a son who has a food allergy and am concerned without labeling, this is a very possible cause of anaphylaxis for him. Anaphylaxis can result in death a ||| As someone with a food allergy myself, I understand the risk and the struggles that accompany a food allergy. Clear labeling is imperative to ensuring those with allergies like myself are informed of what we are ingesting and can act appropriately if we find we have congested or are about to congest something that we are allergic to. Since alcohol, including wines, distilled spirits, and malt beve ||| As a college student, alcohol drinking is very prominent and so are allergies. If seltzers have allergens, why do wines, distilled spirits and malt beverages not? I and many other students suffer from an allergy and we feel discriminated against. I highly urge the companies to start including allergens on the bottle of these beverages not just for me, but for all of those feeling discriminated due"
6,9,"retailers, it, what, cost, this, will, suppliers","What will you do about 50ml? The print will be too small for it to be read. If it is a requirement on all sizes This will harm trial of products (causing issues for both consumers, retailers and suppliers) and will also reduce profits for retailers and suppliers on many levels. ||| I would recommend considering how this affects small producers who might not have the scale to produce these labels for their products. While the purpose of this regulation would be beneficial to the public, I suggest that other methods of warning labels also be introduced and accepted, like the use of QR codes and warning notices at official places of sale instead of on each bottle or can. ||| I have a few recommendations that could potentially improve the rule. <br/><br/>First, I do not believe that using an alternative method such as a website or QR code would be adequate to provide the same information to the consumer. These methods would likely cost the industry the same amount as a website as it would still require an adjustment to the label of the product. Additionally, it may be "
7,9,"files, see, attached, document, full, comment, for",See attached file(s) ||| See attached file(s) ||| See attached document for full comment
8,9,"were, deaths, hospitalizations, visits, new, allergies, department","labeled on certain alcohol. That is not to say that the reactions took place due to consumption of alcohol, but highlights the importance and need to minimize harmful situations. This study also found a concerning trend that hospitalizations and ED visits increased throughout the 15 years. With this rising trend it would be wise to create a proactive regulation instead of a reactionary regulation. ||| allergies in New York City. The study recorded that there were 24 deaths, 3049 hospitalizations and 4014 emergency department visits that were linked to food or drink allergies. Concerningly, out of the 24 deaths, 15 of the deaths were from allergens (milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame) that this regulation would enforce to be labeled on certain ||| for protection under the Americans with Disabilities Act of 1990 and Section 504 of the Rehabilitation Act of 1973, showing the importance of clear allergen labeling for consumers.<br/><br/>In the United States 6.2% of adults and 5.8% of children have a food allergy. Between 2000 - 2014, a study was tracking the deaths, emergency department visits, and hospitalizations due to food allergies in New"
