topic_num,top_words,sample_comments,bertopic_dominant_topic,size
-1,"and, the, of, to, alcohol, in, for","**Comments from Argentina – Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages** Title of the Alcohol Beverage Information Statement *We consider that the title “Alcohol Facts” better describe the information provided inthe proposed statement.* Mandatory Calorie and Nutrient Information *Following the same rationale applied to nutritional infor ||| Comments from Argentina – Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Title of the Alcohol Beverage Information Statement We consider that the title “Alcohol Facts” better describe the information provided inthe proposed statement. Mandatory Calorie and Nutrient Information Following the same rationale applied to nutritional information, ||| August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street, NW Box 12 Washington, DC 20005 RE: Docket No. TTB 2025-0002; Notice 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages WineAmerica is the National Association of American Wineries. We represent wineries, winery associations,",-1.0,31
2,"health, and, alcohol, of, to, the, public","April 4, 2025 ATTN: Alcohol and Tobacco Tax and Trade Bureau SENT VIA ONLINE PUBLIC COMMENT SUBJECT: Support for Mandatory Nutrition and Ingredient Labeling on Alcoholic Beverages Dear TTB Administrator, I am writing to express my strong support for the proposed rules requiring standardized nutrition and ingredient labeling on alcoholic beverages (Docket Nos. TTB–2025–0002 and TTB–2025–0003). This ||| Public Comment on The Alcohol and Tobacco Tax and Trade Bureau (TTB) Proposed “Alcohol Facts” Labeling Rule To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Re: Docket No. TTB-2025-0002 – Proposed Rule on Alcohol Facts Labeling I am writing to express my support for the Alcohol and Tobacco Tax and Trade Bureau’s proposed rule to mandate an “Alcohol Facts” label on alcoholic beverage products. Th ||| on the labels of alcoholic beverages, either somewhat or strongly.7 Whereas, 72% to 90% respondents supported having more information on the labels as it would impact their choice to purchase alcohol.7 A systematic review done in the UK also shows moderate evidence of labeling calories and ABV on purchasing choices of consumers showing increased preference for alcoholic beverages with calorie coun",2.0,30
5,"wine, is, to, wineries, and, be, the","for the three nutrients required to be disclosed, allowing a tolerance of 20 percent above or below the labeled amount. TTB believes that these proposed changes will facilitate the use of “typical values” charts and other methodologies to calculate the calories, carbohydrates, fat, and protein content of an alcohol beverage product. TTB is also proposing to expand the alcohol content tolerance for ||| Page 1 of 10 August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, DC 20005 RE: Docket No. TTB-2025-0002, Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Dear Ms. Greenberg, Wine Institute is the public policy advocacy association representin ||| ROYAL WINE CORP. 63 LEFANTEWAY BAYONNE. NJ wow F 718.486.8 943 3/26/2025 Director, Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW. Box 12 Washington, DC 20005 Comment for Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Dear Director, As the CEO of a major import and distributing company, working wit",5.0,24
6,"is, be, not, to, people, and, that","because so many products opt not to have those labels. In this instance, consistency creates accountability. 2, 3. We support as close an analogy to the FDA warnings as possible, even in the case of nutrients that are rarely found in alcoholic products, because rarity is not the same as a guarantee that a product will not have an exceptional amount of sodium or trans-fats. 4. So long as the produc ||| The beer, wine, and distilled spirits industry should not need to be so heavily regulated by the government with regards to serving size, calories, allergens, etc. The wine industry especially has been around for thousands of years and we need to not be &quot;helicopter parents&quot; consumers know how many calories are in a glass of wine, in a can of beer, and in a shot glass of spirits Doing thi ||| The beer, wine, and distilled spirits industry should not need to be so heavily regulated by the government with regards to serving size, calories, allergens, etc. The wine industry especially has been around for thousands of years and we need to not be &quot;helicopter parents&quot; consumers know how many calories are in a glass of wine, in a can of beer, and in a shot glass of spirits Doing thi",6.0,22
0,"the, and, of, spirits, to, small, in","imposes massive costs on the lives of millions of Americans, creates a substantial restraint on our economic growth and ability to build and innovate, and hampers our global competitiveness.” He also said: “It is the policy of my Administration to significantly reduce the private 8 90 Fed. Reg. at 5775, col. 3 (in reference to the Biden-proposed Allergen Labeling rule: “TTB considered other option ||| Distilled Spirits Council of the United States 101 Constitution Ave. NW , Suite 350 West Washington, DC 20001 August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW , Box 12 Washington, DC 20005 Re: Alcohol Facts Statements in the Labeling of Wine, Distilled Spirits, and Malt Beverages (Notice No. 237; Docket No. TTB–2 ||| August 15, 2025 Director Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, D.C. 20005 RE: ACSA’s Comments on Notice No. 237 Alcohol Facts Statement in the Labeling of Wine, Distilled Spirits, and Malt Beverages [Submitted electronically on https://www.regulations.gov] Introduction This is a challenging time for U.S. small businesses, and ",0.0,22
10,"files, attached, see, file, upload, system, please",See attached file(s) ||| See attached file(s) ||| See attached file(s),10.0,17
1,"serving, size, the, of, to, oz, alcohol","understand clearly displayed information. 9. Serving Size Reference Amounts 9.1. Are the proposed reference amounts a reasonably accurate representation of the amount of the product customarily consumed as a single serving? If not, what data or other information should TTB consider that would give a better estimate of the amount customarily consumed for a specific product category? TTB should foll ||| administrative burdens. Moreover, having the alcohol content displayed in two different places with differing values could lead to labeling errors and mislead consumers.* Mandatory Statement of Alcohol in Fluid Ounces of Pure Alcohol per Serving *If it is mandatory to indicate the alcohol content as a percentage by volume, requiring additional information about the alcohol content per serving size ||| burdens. Moreover, having the alcohol content displayed in two different places with differing values could lead to labeling errors and mislead consumers. Mandatory Statement of Alcohol in Fluid Ounces of Pure Alcohol per Serving If it is mandatory to indicate the alcohol content as a percentage by volume, requiring additional information about the alcohol content per serving size or standard drin",1.0,12
12,"wineries, small, wine, businesses, georgia, and, local","As the proprietor, I am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of &ldquo;Alcohol Facts&rdquo; statements on wine labels. While I support initiatives that promote informed consumer choices, I am apprehensive about the economic and operational challenges th ||| relationship. Operational Challenges Implementing the “Alcohol Facts” labeling would require wineries to conduct detailed analyses of their products to determine accurate nutritional content. This process involves laboratory testing and compliance verification, demanding both time and financial resources. Small wineries may find it particularly challenging to absorb these costs without compromisin ||| Alcohol and Tobacco Tax and Trade Bureau Regulations and Rulings Division 1310 G Street, NW, Box 12 Washington, DC 20005 Dear Alcohol and Tobacco Tax and Trade Bureau, As the proprietor of Georgia Winery, | am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau’s (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of “Alcohol ",12.0,12
17,"think, qr, have, code, manufacturer, batch, to","We have enough regulations on the industry as it is. We do not need caloric or serving size or nutritional information on the labels. There is no benefit to adding this information to the labels, only to force producers to have their products tested by &quot;certified&quot; labs which will severely hamper the small producer with multiple products. This is a ridiculous proposal and government overr ||| As a small brewery owner this would be very expensive and overly burdensome as we make a lot of small batch pilot beers and offer them for sale direct to consumer. We do not have the ability to measure caloric content on finished product and would need to send samples out and wait for results back on beers that we release weekly from our smaller system. Our State requires COLA approval even if the ||| I work in the beer industry. I welcome this discussion. However, I don&rsquo;t think the change in label requirements will have the desired effects proponents want. I think there will be significant unintended consequences that do not benefit the consumer and burden the manufacturer. <br/><br/>1. Most products could go into containers (boxes, wraps, etc&hellip;) that the TTB is unauthorized to reg",17.0,9
3,"qr, information, the, to, digital, codes, and","bridge from the physical label to the e- label. Use of technology to provide for the digital presentation of some mandatory information is an emerging area particularly relevant to wine producers. Wine is not a recipe or formula product. In contrast with other food products, the ingredients and related nutritional values in wine can vary from vintage to vintage due to variations in climate and gra ||| to include a link on the e -label at the end of the mandatory information inviting consumers to “click here” should they desire access to additional voluntary information. 4. The number of QR codes on a given label should be minimized: Governments should permit a single QR code on a wine label to serve more than one purpose. A single QR code has nearly unlimited uses. In some jurisdictions, a sing ||| mandatory refers to disclosures that regulations require. 2 What is GS1 Sunrise 2027? | GS1 US. 2 QR codes are the most common digital means being used at this time to connect to an e-label. While future advancements in technology may lead to replacement s for QR code s, these principles will still apply to the use of such replacements. 1. Use of e -labelling to provide information to wine consume",3.0,9
